trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
41,4,37,9.8,-15.03,-0.366,0.34,18.64,23,18,SBER
59,11,48,18.6,3.95,0.067,1.18,10.6,26,33,GAZP
40,7,33,17.5,0.14,0.004,1.01,5.5,19,21,LKOH
29,4,25,13.8,-5.61,-0.193,0.63,9.92,16,13,ROSN
64,13,51,20.3,-1.72,-0.027,0.94,13.14,24,40,YDEX
233,39,194,16.7,-18.26,-0.078,0.83,44.51,108,125,PORTFOLIO TOTAL
