trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
56,14,42,25.0,-18.57,-0.332,0.37,19.5,33,23,SBER
58,16,42,27.6,-6.28,-0.108,0.75,8.5,27,31,GAZP
44,11,33,25.0,3.56,0.081,1.23,4.95,24,20,LKOH
40,7,33,17.5,-5.34,-0.134,0.54,5.85,22,18,ROSN
61,16,45,26.2,-14.45,-0.237,0.51,18.86,25,36,YDEX
259,64,195,24.7,-41.09,-0.159,0.63,53.67,131,128,PORTFOLIO TOTAL
