trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
48,22,26,45.8,-15.72,-0.327,0.5,18.61,23,25,BNB/USDT
46,27,19,58.7,1.13,0.024,1.05,5.69,31,15,SOL/USDT
45,24,21,53.3,-1.65,-0.037,0.93,6.38,28,17,DOGE/USDT
62,28,34,45.2,-6.39,-0.103,0.84,14.61,37,25,ADA/USDT
201,101,100,50.2,-22.64,-0.113,0.81,32.3,119,82,PORTFOLIO TOTAL
