trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
20,5,15,25.0,-8.36,-0.418,0.32,9.79,0,20,SBER
31,14,17,45.2,6.15,0.198,1.78,2.27,0,31,GAZP
19,8,11,42.1,1.27,0.067,1.16,2.96,0,19,LKOH
15,4,11,26.7,0.25,0.016,1.07,2.61,0,15,ROSN
33,8,25,24.2,-11.63,-0.352,0.39,12.56,0,33,YDEX
118,39,79,33.1,-12.32,-0.104,0.76,20.0,0,118,PORTFOLIO TOTAL
