trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
3,0,3,0.0,-2.68,-0.892,0.0,1.32,0,3,SBER
9,0,9,0.0,-3.71,-0.412,0.0,3.71,3,6,GAZP
6,0,6,0.0,-3.58,-0.597,0.0,3.58,4,2,LKOH
13,2,11,15.4,-0.35,-0.027,0.93,3.68,9,4,ROSN
7,0,7,0.0,-5.09,-0.727,0.0,3.85,5,2,YDEX
38,2,36,5.3,-15.4,-0.405,0.23,14.16,21,17,PORTFOLIO TOTAL
