trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
18,6,12,33.3,-2.86,-0.159,0.62,4.9,10,8,BNB/USDT
26,10,16,38.5,-1.13,-0.044,0.9,5.98,13,13,SOL/USDT
25,7,18,28.0,-3.68,-0.147,0.68,5.49,15,10,DOGE/USDT
18,4,14,22.2,-10.18,-0.565,0.25,9.66,7,11,ADA/USDT
87,27,60,31.0,-17.85,-0.205,0.6,21.38,45,42,PORTFOLIO TOTAL
