trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
62,26,36,41.9,5.81,0.094,1.21,8.65,32,30,DOGE/USDT
52,19,33,36.5,2.44,0.047,1.1,7.53,17,35,ADA/USDT
88,24,64,27.3,-17.28,-0.196,0.64,19.43,37,51,XRP/USDT
63,25,38,39.7,6.52,0.103,1.23,6.81,36,27,BNB/USDT
80,31,49,38.8,6.14,0.077,1.17,6.75,39,41,SOL/USDT
345,125,220,36.2,3.64,0.011,1.02,19.12,161,184,PORTFOLIO TOTAL
