trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
18,4,14,22.2,-0.22,-0.012,0.97,4.9,10,8,BNB/USDT
26,8,18,30.8,0.15,0.006,1.01,6.38,13,13,SOL/USDT
25,7,18,28.0,-3.99,-0.159,0.7,6.87,15,10,DOGE/USDT
18,5,13,27.8,-7.42,-0.412,0.49,7.0,7,11,ADA/USDT
87,24,63,27.6,-11.48,-0.132,0.76,20.47,45,42,PORTFOLIO TOTAL
