symbol,is_moex,month,year,cal_month,quarter,trades,wins,losses,winrate,total_r,profit_factor,max_dd_r,avg_r
ROSN,True,2026-09,2026,9,Q3,12,6,6,50.0,-2.91,0.57,4.08,-0.242
YDEX,True,2025-09,2025,9,Q3,1,0,1,0.0,-1.08,0.0,0.0,-1.084
YDEX,True,2025-10,2025,10,Q4,16,10,6,62.5,2.19,1.32,2.41,0.137
YDEX,True,2025-11,2025,11,Q4,7,4,3,57.1,0.58,1.17,1.15,0.082
YDEX,True,2025-12,2025,12,Q4,10,5,5,50.0,0.44,1.08,3.46,0.044
YDEX,True,2026-01,2026,1,Q1,8,6,2,75.0,0.4,1.16,2.05,0.049
YDEX,True,2026-02,2026,2,Q1,12,11,1,91.7,7.77,7.86,0.0,0.648
YDEX,True,2026-03,2026,3,Q1,13,8,5,61.5,0.48,1.09,3.28,0.037
YDEX,True,2026-04,2026,4,Q2,7,4,3,57.1,1.51,1.47,1.09,0.216
YDEX,True,2026-05,2026,5,Q2,3,3,0,100.0,2.55,99.9,0.0,0.849
YDEX,True,2026-06,2026,6,Q2,8,5,3,62.5,-0.23,0.93,1.71,-0.029
YDEX,True,2026-07,2026,7,Q3,15,10,5,66.7,0.31,1.06,2.1,0.021
YDEX,True,2026-08,2026,8,Q3,16,9,7,56.2,-1.44,0.82,4.91,-0.09
YDEX,True,2026-09,2026,9,Q3,4,2,2,50.0,0.13,1.06,2.29,0.032
