Direction,Window,KZ_Exit,Min_Risk,Grid,Trades,Winrate,Total_R,Profit_Factor,Max_DD_R,Avg_R,Recovery
LONG,10-18:45_MSK,Hold,0.15%,Grid_E,380,38.9,-228.53,0.23,227.11,-0.601,-1.01
LONG,10-18:45_MSK,Hold,0.20%,Grid_B,352,69.3,7.08,1.05,14.49,0.02,0.49
LONG,10-18:45_MSK,Hold,0.20%,Grid_A,352,60.8,-7.98,0.95,20.25,-0.023,-0.39
LONG,10-18:45_MSK,Hold,0.20%,Grid_C,352,57.7,-12.36,0.91,19.31,-0.035,-0.64
LONG,10-18:45_MSK,Hold,0.20%,Grid_D,352,69.3,4.76,1.03,14.71,0.014,0.32
LONG,10-18:45_MSK,Hold,0.20%,Grid_E,352,38.1,-209.23,0.24,207.81,-0.594,-1.01
LONG,10-18:45_MSK,Hold,0.25%,Grid_B,311,67.2,1.99,1.02,12.97,0.006,0.15
LONG,10-18:45_MSK,Hold,0.25%,Grid_A,311,58.2,-10.24,0.94,17.86,-0.033,-0.57
LONG,10-18:45_MSK,Hold,0.25%,Grid_C,311,60.5,-12.72,0.9,17.65,-0.041,-0.72
LONG,10-18:45_MSK,Hold,0.25%,Grid_D,311,67.2,1.6,1.01,12.3,0.005,0.13
LONG,10-18:45_MSK,Hold,0.25%,Grid_E,311,37.9,-177.69,0.26,176.3,-0.571,-1.01
