trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
50,12,38,24.0,-18.37,-0.367,0.37,20.4,30,20,SBER
55,21,34,38.2,0.1,0.002,1.0,5.77,24,31,GAZP
40,16,24,40.0,0.86,0.021,1.06,4.11,21,19,LKOH
33,7,26,21.2,-4.09,-0.124,0.6,6.09,18,15,ROSN
55,13,42,23.6,-18.45,-0.336,0.38,19.48,22,33,YDEX
233,69,164,29.6,-39.95,-0.171,0.62,47.95,115,118,PORTFOLIO TOTAL
