trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
2,0,2,0.0,-2.37,-1.186,0.0,1.19,2,0,BNB/USDT
1,0,1,0.0,-1.16,-1.162,0.0,0.0,1,0,SOL/USDT
6,2,4,33.3,0.05,0.009,1.02,1.04,4,2,DOGE/USDT
10,2,8,20.0,-4.44,-0.444,0.33,5.52,8,2,ADA/USDT
19,4,15,21.1,-7.92,-0.417,0.36,10.18,15,4,PORTFOLIO TOTAL
