trades,wins,losses,winrate,total_r,avg_r,profit_factor,max_dd_r,long_trades,short_trades,symbol
50,3,47,6.0,-22.04,-0.441,0.24,22.75,30,20,SBER
53,9,44,17.0,-0.61,-0.011,0.97,8.27,23,30,GAZP
40,8,32,20.0,3.54,0.089,1.23,6.01,21,19,LKOH
33,2,31,6.1,-5.38,-0.163,0.48,7.36,18,15,ROSN
55,6,49,10.9,-17.41,-0.316,0.42,17.27,22,33,YDEX
231,28,203,12.1,-41.9,-0.181,0.61,55.77,114,117,PORTFOLIO TOTAL
